timestamp,dtemp,iin,gpi,vcap,vcap1,vcap2,vcap3,vcap4,vin,vout
10:14:22, 51.4 °C,   -3 mV, 4117 mV, 4542 mV, 2276 mV, 2271 mV,    0 mV,    0 mV, 4953 mV, 4906 mV
10:14:23, 51.4 °C,   -3 mV, 3448 mV, 4540 mV, 2276 mV, 2271 mV,   -0 mV,    0 mV, 4950 mV, 4904 mV
10:14:24, 51.4 °C,   -3 mV, 3845 mV, 4543 mV, 2275 mV, 2271 mV,   -0 mV,    0 mV, 4953 mV, 4906 mV
10:14:25, 51.4 °C,   -3 mV, 3715 mV, 4545 mV, 2276 mV, 2271 mV,    0 mV,    0 mV, 4953 mV, 4906 mV
10:14:26, 51.4 °C,   -3 mV, 3490 mV, 4542 mV, 2276 mV, 2271 mV,    0 mV,   -0 mV, 4957 mV, 4904 mV
10:14:27, 51.4 °C,   -3 mV, 3428 mV, 4542 mV, 2276 mV, 2271 mV,    0 mV,   -0 mV, 4950 mV, 4906 mV
10:14:28, 51.4 °C,   -3 mV, 3507 mV, 4542 mV, 2276 mV, 2271 mV,    0 mV,   -0 mV, 4953 mV, 4908 mV
10:14:29, 51.4 °C,   -3 mV, 3660 mV, 4542 mV, 2276 mV, 2271 mV,   -0 mV,   -0 mV, 4953 mV, 4904 mV
10:14:30, 51.4 °C,   -3 mV, 3501 mV, 4543 mV, 2276 mV, 2271 mV,    0 mV,    0 mV, 4953 mV, 4908 mV
10:14:31, 51.4 °C,   -3 mV, 3675 mV, 4543 mV, 2276 mV, 2271 mV,   -0 mV,    0 mV, 4950 mV, 4908 mV
10:14:32, 51.5 °C,   -3 mV,   22 mV, 4500 mV, 2260 mV, 2246 mV,    0 mV,    0 mV,  594 mV, 4875 mV
10:14:33, 51.6 °C,   -3 mV,   20 mV, 4478 mV, 2248 mV, 2235 mV,    0 mV,   -0 mV,   86 mV, 4880 mV
10:14:34, 51.6 °C,   -3 mV,   24 mV, 4459 mV, 2239 mV, 2225 mV,    0 mV,    0 mV,   22 mV, 4873 mV
10:14:35, 51.6 °C,   -3 mV,   18 mV, 4441 mV, 2229 mV, 2216 mV,    0 mV,   -0 mV,   18 mV, 4873 mV
10:14:36, 51.6 °C,   -3 mV,   20 mV, 4422 mV, 2219 mV, 2206 mV,    0 mV,    0 mV,   15 mV, 4871 mV
10:14:37, 51.6 °C,   -3 mV,   24 mV, 4403 mV, 2211 mV, 2198 mV,   -0 mV,    0 mV,   15 mV, 4877 mV
10:14:38, 51.5 °C,   -3 mV,   20 mV, 4384 mV, 2200 mV, 2187 mV,    0 mV,    0 mV,   15 mV, 4877 mV
10:14:39, 51.4 °C,   -3 mV,   22 mV, 4363 mV, 2191 mV, 2179 mV,   -0 mV,   -0 mV,   18 mV, 4873 mV
10:14:40, 51.4 °C,   -3 mV,   22 mV, 4344 mV, 2181 mV, 2168 mV,    0 mV,    0 mV,   18 mV, 4873 mV
10:14:41, 51.4 °C,   -3 mV,   24 mV, 4323 mV, 2172 mV, 2160 mV,    0 mV,   -0 mV,   13 mV, 4873 mV
10:14:42, 51.3 °C,   -3 mV,   20 mV, 4303 mV, 2162 mV, 2148 mV,    0 mV,    0 mV,   18 mV, 4873 mV
10:14:43, 51.3 °C,   -3 mV,   22 mV, 4288 mV, 2153 mV, 2139 mV,    0 mV,    0 mV,   11 mV, 4875 mV
10:14:44, 51.3 °C,   -3 mV,   20 mV, 4267 mV, 2143 mV, 2129 mV,    0 mV,   -0 mV,   13 mV, 4875 mV
10:14:46, 51.2 °C,   -3 mV,   20 mV, 4249 mV, 2132 mV, 2119 mV,   -0 mV,    1 mV,   18 mV, 4871 mV
10:14:47, 51.2 °C,   -3 mV,   22 mV, 4226 mV, 2123 mV, 2110 mV,    0 mV,    0 mV,   15 mV, 4873 mV
