timestamp,dtemp,iin,gpi,vcap,vcap1,vcap2,vcap3,vcap4,vin,vout
22:50:18, 44.1 °C,   -2 mV, 4597 mV, 4375 mV, 2187 mV, 2155 mV,   -0 mV,   -1 mV, 4975 mV, 4933 mV
22:50:19, 44.0 °C,   -2 mV, 3545 mV, 4372 mV, 2186 mV, 2155 mV,    0 mV,   -1 mV, 4972 mV, 4935 mV
22:50:20, 44.1 °C,   -2 mV, 3828 mV, 4370 mV, 2186 mV, 2154 mV,    0 mV,   -1 mV, 4972 mV, 4928 mV
22:50:21, 44.0 °C,   -2 mV, 3726 mV, 4372 mV, 2186 mV, 2154 mV,    0 mV,   -1 mV, 4972 mV, 4931 mV
22:50:22, 44.1 °C,   -2 mV, 3799 mV, 4372 mV, 2186 mV, 2154 mV,    0 mV,   -1 mV, 4972 mV, 4933 mV
22:50:23, 44.0 °C,   -2 mV, 3693 mV, 4370 mV, 2186 mV, 2154 mV,    0 mV,   -1 mV, 4975 mV, 4931 mV
22:50:24, 44.0 °C,   -2 mV, 3375 mV, 4370 mV, 2186 mV, 2154 mV,    0 mV,   -1 mV, 4975 mV, 4933 mV
22:50:25, 44.0 °C,   -2 mV, 3359 mV, 4369 mV, 2185 mV, 2153 mV,    0 mV,   -1 mV, 4970 mV, 4933 mV
22:50:26, 44.1 °C,   -2 mV, 3151 mV, 4367 mV, 2185 mV, 2153 mV,    0 mV,   -1 mV, 4972 mV, 4933 mV
22:50:27, 44.0 °C,   -2 mV, 3087 mV, 4369 mV, 2185 mV, 2153 mV,    0 mV,   -1 mV, 4972 mV, 4933 mV
22:50:28, 44.0 °C,   -2 mV, 3056 mV, 4367 mV, 2185 mV, 2153 mV,    0 mV,   -1 mV, 4970 mV, 4931 mV
22:50:29, 44.0 °C,   -2 mV, 3074 mV, 4367 mV, 2184 mV, 2153 mV,    0 mV,   -1 mV, 4970 mV, 4933 mV
22:50:30, 44.0 °C,   -2 mV, 3116 mV, 4369 mV, 2184 mV, 2152 mV,    0 mV,   -1 mV, 4972 mV, 4931 mV
22:50:31, 44.1 °C,   -2 mV, 3127 mV, 4366 mV, 2184 mV, 2152 mV,    0 mV,   -1 mV, 4970 mV, 4933 mV
22:50:32, 44.0 °C,   -2 mV, 3074 mV, 4366 mV, 2184 mV, 2152 mV,   -0 mV,   -1 mV, 4975 mV, 4933 mV
22:50:33, 44.0 °C,   -2 mV, 3063 mV, 4366 mV, 2184 mV, 2152 mV,    0 mV,   -1 mV, 4970 mV, 4931 mV
22:50:34, 44.0 °C,   -2 mV, 3114 mV, 4366 mV, 2183 mV, 2152 mV,    0 mV,   -1 mV, 4975 mV, 4933 mV
22:50:35, 43.7 °C,   -2 mV, 3045 mV, 4367 mV, 2183 mV, 2179 mV,    0 mV,    0 mV, 4975 mV, 4933 mV
22:50:36, 43.6 °C,   -2 mV, 3180 mV, 4366 mV, 2183 mV, 2179 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
22:50:38, 44.0 °C,   -2 mV,20871 mV, 4567 mV, 2268 mV, 2292 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
22:50:39, 44.2 °C,   -2 mV,13211 mV, 4567 mV, 2274 mV, 2286 mV,    0 mV,   -0 mV, 4970 mV, 4926 mV
22:50:40, 44.4 °C,   -2 mV, 9370 mV, 4567 mV, 2278 mV, 2283 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
22:50:41, 44.3 °C,   -2 mV, 7023 mV, 4565 mV, 2280 mV, 2282 mV,   -0 mV,    0 mV, 4972 mV, 4928 mV
22:50:42, 44.3 °C,   -2 mV, 5711 mV, 4567 mV, 2281 mV, 2281 mV,    0 mV,   -0 mV, 4972 mV, 4933 mV
22:50:43, 44.3 °C,   -2 mV, 4992 mV, 4567 mV, 2282 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
22:50:44, 44.4 °C,   -2 mV, 4367 mV, 4565 mV, 2282 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
22:50:45, 44.4 °C,   -2 mV, 3826 mV, 4565 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
22:50:46, 44.3 °C,   -2 mV, 3828 mV, 4565 mV, 2283 mV, 2279 mV,    0 mV,    0 mV, 4975 mV, 4928 mV
22:50:47, 44.3 °C,   -2 mV, 3364 mV, 4565 mV, 2283 mV, 2279 mV,    0 mV,    0 mV, 4975 mV, 4933 mV
22:50:48, 44.3 °C,   -2 mV, 3589 mV, 4568 mV, 2283 mV, 2279 mV,    0 mV,    0 mV, 4968 mV, 4931 mV
22:50:49, 44.3 °C,   -2 mV, 3328 mV, 4568 mV, 2283 mV, 2279 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
22:50:50, 44.3 °C,   -2 mV, 3189 mV, 4567 mV, 2283 mV, 2278 mV,    0 mV,    0 mV, 4972 mV, 4935 mV
22:50:51, 44.3 °C,   -2 mV, 3242 mV, 4564 mV, 2283 mV, 2278 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
22:50:52, 44.3 °C,   -2 mV, 3123 mV, 4565 mV, 2283 mV, 2278 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
22:50:53, 44.3 °C,   -2 mV, 3326 mV, 4564 mV, 2283 mV, 2278 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
22:50:54, 44.3 °C,   -2 mV, 3375 mV, 4565 mV, 2283 mV, 2278 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
22:50:55, 44.3 °C,   -2 mV, 3437 mV, 4564 mV, 2283 mV, 2278 mV,    0 mV,    0 mV, 4975 mV, 4933 mV
22:50:56, 44.2 °C,   -2 mV, 3702 mV, 4565 mV, 2283 mV, 2278 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
