timestamp,dtemp,iin,gpi,vcap,vcap1,vcap2,vcap3,vcap4,vin,vout
13:02:55, 46.4 °C,   -2 mV, 3914 mV, 4562 mV, 2282 mV, 2278 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
13:02:56, 46.3 °C,   -2 mV, 3644 mV, 4565 mV, 2282 mV, 2278 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:02:57, 46.3 °C,   -2 mV, 3671 mV, 4564 mV, 2282 mV, 2279 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:02:58, 46.3 °C,   -2 mV, 3432 mV, 4565 mV, 2282 mV, 2278 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
13:02:59, 46.3 °C,   -2 mV, 3403 mV, 4562 mV, 2282 mV, 2279 mV,    0 mV,    0 mV, 4975 mV, 4931 mV
13:03:00, 46.3 °C,   -2 mV, 3658 mV, 4565 mV, 2282 mV, 2278 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
13:03:01, 46.3 °C,   -2 mV, 3452 mV, 4565 mV, 2282 mV, 2278 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
13:03:02, 46.3 °C,   -2 mV, 3704 mV, 4562 mV, 2282 mV, 2278 mV,    0 mV,    0 mV, 4970 mV, 4935 mV
13:03:03, 46.4 °C,   -2 mV,   33 mV, 4520 mV, 2263 mV, 2253 mV,    0 mV,    0 mV,  332 mV, 4858 mV
13:03:04, 46.4 °C,   -2 mV,   33 mV, 4502 mV, 2253 mV, 2242 mV,    0 mV,    0 mV,   66 mV, 4853 mV
13:03:05, 46.5 °C,   -2 mV,   31 mV, 4486 mV, 2244 mV, 2234 mV,    0 mV,   -0 mV,   29 mV, 4853 mV
13:03:06, 46.5 °C,   -2 mV,   31 mV, 4462 mV, 2235 mV, 2225 mV,    0 mV,   -0 mV,   24 mV, 4853 mV
13:03:07, 46.5 °C,   -2 mV,   29 mV, 4447 mV, 2227 mV, 2215 mV,    0 mV,    0 mV,   22 mV, 4853 mV
13:03:08, 46.3 °C,   -2 mV,   29 mV, 4425 mV, 2216 mV, 2205 mV,    0 mV,    0 mV,   18 mV, 4855 mV
13:03:09, 46.4 °C,   -2 mV,   33 mV, 4404 mV, 2206 mV, 2195 mV,    0 mV,    0 mV,   20 mV, 4855 mV
13:03:10, 46.2 °C,   -2 mV,   29 mV, 4388 mV, 2196 mV, 2185 mV,    0 mV,    0 mV,   22 mV, 4853 mV
13:03:11, 46.1 °C,   -2 mV,   31 mV, 4366 mV, 2187 mV, 2175 mV,    0 mV,    0 mV,   20 mV, 4855 mV
13:03:12, 46.1 °C,   -2 mV,   27 mV, 4350 mV, 2178 mV, 2167 mV,    0 mV,    0 mV,   20 mV, 4853 mV
13:03:13, 46.0 °C,   -2 mV,   31 mV, 4329 mV, 2169 mV, 2159 mV,    0 mV,    0 mV,   18 mV, 4855 mV
13:03:14, 46.0 °C,   -2 mV,   31 mV, 4311 mV, 2161 mV, 2150 mV,    0 mV,    0 mV,   20 mV, 4855 mV
13:03:15, 45.9 °C,   -2 mV,   33 mV, 4297 mV, 2152 mV, 2140 mV,    0 mV,    0 mV,   20 mV, 4855 mV
13:03:16, 45.9 °C,   -2 mV,   31 mV, 4276 mV, 2141 mV, 2131 mV,    0 mV,    0 mV,   18 mV, 4853 mV
13:03:17, 45.8 °C,   -2 mV,   31 mV, 4257 mV, 2132 mV, 2121 mV,    0 mV,    0 mV,   18 mV, 4858 mV
13:03:18, 45.7 °C,   -2 mV,   31 mV, 4238 mV, 2123 mV, 2111 mV,    0 mV,    0 mV,   18 mV, 4849 mV
13:03:19, 45.6 °C,   -2 mV,   33 mV, 4218 mV, 2113 mV, 2102 mV,    0 mV,    0 mV,   18 mV, 4849 mV
13:03:20, 45.6 °C,   -2 mV,   31 mV, 4199 mV, 2103 mV, 2094 mV,    0 mV,    0 mV,   20 mV, 4849 mV
13:03:21, 45.5 °C,   -2 mV,   29 mV, 4183 mV, 2095 mV, 2082 mV,    0 mV,    0 mV,   18 mV, 4849 mV
13:03:23, 45.5 °C,   -2 mV,   33 mV, 4162 mV, 2085 mV, 2074 mV,   -0 mV,    0 mV,   20 mV, 4851 mV
13:03:24, 45.5 °C,   -2 mV,   33 mV, 4143 mV, 2076 mV, 2063 mV,   -0 mV,    0 mV,   15 mV, 4853 mV
13:03:25, 45.5 °C,   -2 mV,   31 mV, 4127 mV, 2065 mV, 2054 mV,    0 mV,    0 mV,   20 mV, 4851 mV
13:03:26, 45.3 °C,   -2 mV,   31 mV, 4103 mV, 2056 mV, 2045 mV,    0 mV,    0 mV,   18 mV, 4849 mV
13:03:27, 45.3 °C,   -2 mV,   31 mV, 4087 mV, 2046 mV, 2034 mV,    0 mV,    0 mV,   20 mV, 4849 mV
13:03:28, 45.3 °C,   -2 mV,   31 mV, 4065 mV, 2036 mV, 2025 mV,    0 mV,    0 mV,   20 mV, 4851 mV
13:03:29, 45.2 °C,   -2 mV,   31 mV, 4043 mV, 2027 mV, 2016 mV,    0 mV,    0 mV,   20 mV, 4853 mV
13:03:30, 45.2 °C,   -2 mV,   29 mV, 4027 mV, 2017 mV, 2006 mV,    0 mV,    0 mV,   22 mV, 4849 mV
13:03:31, 45.1 °C,   -2 mV,   29 mV, 4004 mV, 2007 mV, 1995 mV,    0 mV,    0 mV,   20 mV, 4849 mV
13:03:32, 45.1 °C,   -2 mV,   29 mV, 3985 mV, 1998 mV, 1984 mV,    0 mV,    0 mV,   22 mV, 4853 mV
13:03:33, 45.1 °C,   -2 mV,   31 mV, 3966 mV, 1987 mV, 1975 mV,    0 mV,    0 mV,   20 mV, 4851 mV
13:03:34, 45.0 °C,   -2 mV,   31 mV, 3945 mV, 1977 mV, 1966 mV,    0 mV,    0 mV,   18 mV, 4849 mV
13:03:35, 45.0 °C,   -2 mV,   31 mV, 3926 mV, 1968 mV, 1954 mV,   -0 mV,    0 mV,   18 mV, 4849 mV
13:03:36, 44.9 °C,   -2 mV,   29 mV, 3905 mV, 1957 mV, 1944 mV,    0 mV,    0 mV,   18 mV, 4853 mV
13:03:37, 45.0 °C,   -2 mV,33512 mV, 4267 mV, 2107 mV, 2155 mV,    0 mV,    0 mV, 4966 mV, 4922 mV
13:03:38, 45.2 °C,   -2 mV,34178 mV, 4424 mV, 2185 mV, 2233 mV,    0 mV,   -0 mV, 4966 mV, 4922 mV
13:03:39, 45.5 °C,   -2 mV,33000 mV, 4549 mV, 2250 mV, 2294 mV,    0 mV,    0 mV, 4964 mV, 4915 mV
13:03:40, 45.8 °C,   -2 mV,21757 mV, 4564 mV, 2267 mV, 2293 mV,    0 mV,    0 mV, 4964 mV, 4924 mV
13:03:41, 46.1 °C,   -2 mV,14858 mV, 4568 mV, 2273 mV, 2287 mV,   -0 mV,    0 mV, 4968 mV, 4924 mV
13:03:42, 46.4 °C,   -2 mV,10619 mV, 4567 mV, 2277 mV, 2284 mV,    0 mV,   -0 mV, 4966 mV, 4928 mV
13:03:43, 46.5 °C,   -2 mV, 8299 mV, 4568 mV, 2279 mV, 2282 mV,   -0 mV,    0 mV, 4970 mV, 4931 mV
13:03:44, 46.5 °C,   -2 mV, 6409 mV, 4565 mV, 2280 mV, 2281 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:03:45, 46.5 °C,   -2 mV, 5386 mV, 4565 mV, 2281 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
13:03:46, 46.6 °C,   -2 mV, 5008 mV, 4565 mV, 2281 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:03:47, 46.5 °C,   -2 mV, 4290 mV, 4564 mV, 2282 mV, 2279 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:03:48, 46.5 °C,   -2 mV, 3998 mV, 4567 mV, 2282 mV, 2279 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
13:03:49, 46.4 °C,   -2 mV, 4091 mV, 4565 mV, 2282 mV, 2279 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
13:03:50, 46.4 °C,   -2 mV, 4694 mV, 4565 mV, 2282 mV, 2279 mV,   -0 mV,   -0 mV, 4966 mV, 4933 mV
13:03:51, 46.4 °C,   -2 mV, 4179 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
13:03:52, 46.3 °C,   -2 mV, 3985 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
